Ingredient,Effects
 ISOAMYL LAURATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL NONANOATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL PHENETHYL ETHER, FLAVORING AGENT OR ADJUVANT
 ISOAMYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL PYRUVATE, FLAVORING AGENT OR ADJUVANT
 ISOAMYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
 ISOBORNEOL, FLAVORING AGENT OR ADJUVANT
 ISOBORNYL ACETATE, FLAVORING AGENT OR ADJUVANT
 ISOBORNYL FORMATE, FLAVORING AGENT OR ADJUVANT
 ISOBORNYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ISOBORNYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 ISOBORNYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ISOBORNYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTANE, PROPELLANT
 ISOBUTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL ACETOACETATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 ISOBUTYLAMINE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL ANGELATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL ANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL 2-BUTENOATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 N-ISOBUTYLDECA-TRANS-2-TRANS-4-DIENAMIDE, FLAVORING AGENT OR ADJUVANT
" 2(4)-ISOBUTYL-4(2),6-DIMETHYLDIHYDRO-4H-1,3,5-DITHIAZINE", FLAVORING AGENT OR ADJUVANT
" 2-ISOBUTYL-4,5-DIMETHYLOXAZOLE", FLAVORING AGENT OR ADJUVANT
 ISOBUTYLENE-ISOPRENE COPOLYMER, MASTICATORY SUBSTANCE
 ISOBUTYL FORMATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL 2-FURANPROPIONATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 2-ISOBUTYL-3-METHOXYPYRAZINE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL N-METHYLANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 2-ISOBUTYL-3-METHYLPYRAZINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 (+/-)-ISOBUTYL 3-METHYLTHIOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL SALICYLATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-ISOBUTYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYL 10-UNDECENOATE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 ISOBUTYRIC ACID, FLAVORING AGENT OR ADJUVANT
 ISOCYCLOCITRAL, FLAVORING AGENT OR ADJUVANT
 ISOEUGENOL, FLAVORING AGENT OR ADJUVANT
 ISOEUGENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 ISOEUGENYL BENZYL ETHER, FLAVORING AGENT OR ADJUVANT
 ISOEUGENYL ETHYL ETHER, FLAVORING AGENT OR ADJUVANT
 ISOEUGENYL FORMATE, FLAVORING AGENT OR ADJUVANT
 ISOEUGENYL METHYL ETHER, FLAVORING AGENT OR ADJUVANT
 ISOEUGENYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 ISOJASMONE, FLAVORING AGENT OR ADJUVANT
 L-ISOLEUCINE," FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 ALPHA-ISOMETHYLIONONE, FLAVORING AGENT OR ADJUVANT
 BETA-ISOMETHYLIONONE, FLAVORING AGENT OR ADJUVANT
 ALPHA-ISOMETHYLIONYL ACETATE, FLAVORING AGENT OR ADJUVANT
" ISOPARAFFINIC PETROLEUM HYDROCARBONS, SYNTHETIC"," SOLVENT OR VEHICLE, SURFACE-ACTIVE AGENT"
 ISOPENTYLAMINE, FLAVORING AGENT OR ADJUVANT
 ISOPENTYLIDENEISOPENTYLAMINE, FLAVORING AGENT OR ADJUVANT
 ISOPHORONE, FLAVORING AGENT OR ADJUVANT
 ISOPROPENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 5-ISOPROPENYL-2-METHYL-2-VINYLTETRAHYDROFURAN, FLAVORING AGENT OR ADJUVANT
 3-ISOPROPENYL-6-OXOHEPTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 3-ISOPROPENYLPENTANEDIOIC ACID, FLAVORING AGENT OR ADJUVANT
 ISOPROPENYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL ACETATE, FLAVORING AGENT OR ADJUVANT
 P-ISOPROPYLACETOPHENONE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL ALCOHOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 ISOPROPYLAMINE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 P-ISOPROPYLBENZYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL CINNAMATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ISOPROPYL CITRATE, SEQUESTRANT
 ISOPROPYL-2-CYCLOHEXENONE, FLAVORING AGENT OR ADJUVANT
" 5-ISOPROPYL-2,6-DIETHYL-2-METHYLTETRAHYDRO-2H-PYRAN", FLAVORING AGENT OR ADJUVANT
" 2(4)-ISOPROPYL-4(2),6-DIMETHYLDIHYDRO-4H-1,3,5-DITHIAZINE", FLAVORING AGENT OR ADJUVANT
 ISOPROPYL FORMATE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYLIDENEGLYCERYL 5-HYDROXYDECANOATE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL ISOBUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ISOPROPYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 S-ISOPROPYL 3-METHYLBUT-2-ENETHIOATE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 2-ISOPROPYL-5-METHYL-2-HEXENAL, FLAVORING AGENT OR ADJUVANT
" (+/-)-[R-(E)]-5-ISOPROPYL-8-METHYLNONA-6,8-DIEN-2-ONE", FLAVORING AGENT OR ADJUVANT
 2-ISOPROPYL-4-METHYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL MYRISTATE,Not Available
 ISOPROPYL PALMITATE,Not Available
 2-ISOPROPYLPHENOL, FLAVORING AGENT OR ADJUVANT
 P-ISOPROPYLPHENYLACETALDEHYDE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 3-(P-ISOPROPYLPHENYL)PROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 2-ISOPROPYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 ISOPROPYL TIGLATE, FLAVORING AGENT OR ADJUVANT
" 2-ISOPROPYL-N,2,3-TRIMETHYLBUTYRAMIDE", FLAVORING AGENT OR ADJUVANT
 ISOPULEGOL, FLAVORING AGENT OR ADJUVANT
 ISOPULEGONE, FLAVORING AGENT OR ADJUVANT
 ISOPULEGYL ACETATE, FLAVORING AGENT OR ADJUVANT
" ISOQUERCITRIN, ENZYMATICALLY MODIFIED", FLAVORING AGENT OR ADJUVANT
 ISOQUINOLINE, FLAVORING AGENT OR ADJUVANT
 ISOVALERALDEHYDE DIETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 ISOVALERALDEHYDE GLYCERYL ACETAL, FLAVORING AGENT OR ADJUVANT
 ISOVALERIC ACID, FLAVORING AGENT OR ADJUVANT
 IVA (ACHILLEA MOSCHATA JACQ.), FLAVORING AGENT OR ADJUVANT
" IVA, EXTRACT (ACHILLEA MOSCHATA JACQ.)", FLAVORING AGENT OR ADJUVANT
 JAMBU OLEORESIN, FLAVORING AGENT OR ADJUVANT
 JAPAN WAX, TEXTURIZER
" JASMINE, ABSOLUTE (JASMINUM SPP.)", FLAVORING AGENT OR ADJUVANT
" JASMINE, CONCRETE (JASMINUM SPP.)", FLAVORING AGENT OR ADJUVANT
" JASMINE, OIL (JASMINUM GRANDIFLORUM L.)", FLAVORING AGENT OR ADJUVANT
" JASMINE, SPIRITUS (JASMINUM GRANDIFLORUM L.)", FLAVORING AGENT OR ADJUVANT
" JASMONE, CIS-", FLAVORING AGENT OR ADJUVANT
" JELUTONG (DYERA COSTULATA HOOK, F. AND D. LOWII HOOK, F.)"," MASTICATORY SUBSTANCE, WASHING OR SURFACE REMOVAL AGENT"
 JUNIPER (BERRIES) (JUNIPERUS COMMUNIS L.), FLAVORING AGENT OR ADJUVANT
" JUNIPER, EXTRACT (JUNIPERUS COMMUNIS L.)", FLAVORING AGENT OR ADJUVANT
 JUNIPER OIL (JUNIPERUS COMMUNIS L.), FLAVORING AGENT OR ADJUVANT
 KELP, FLAVORING AGENT OR ADJUVANT
 2-KETO-4-BUTANETHIOL, FLAVORING AGENT OR ADJUVANT
 ALPHA-KETOBUTYRIC ACID," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" KOLA NUT, EXTRACT (COLA ACUMINATA SCHOTT ET ENDL.)", FLAVORING AGENT OR ADJUVANT
" LABDANUM, ABSOLUTE (CISTUS SPP.)", FLAVORING AGENT OR ADJUVANT
" LABDANUM, OIL (CISTUS SPP.)", FLAVORING AGENT OR ADJUVANT
" LABDANUM, OLEORESIN (CISTUS SPP.)", FLAVORING AGENT OR ADJUVANT
 LACTALBUMIN," FORMULATION AID, NUTRIENT SUPPLEMENT, PH CONTROL AGENT"
 LACTALBUMIN PHOSPHATE,Not Available
 LACTASE FROM SACCHAROMYCES FRAGILIS, ENZYME
 LACTASE FROM SACCHAROMYCES (KLUYVEROMYCES) LACTIS, ENZYME
" LACTASE PREPARATION, CANDIDA PSEUDOTROPICALIS", ENZYME
 LACTOSE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, MALTING OR FERMENTING AID, NUTRITIVE SWEETENER, OXIDIZING OR REDUCING AGENT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" LACTOSE, HYDROLYZED", NUTRITIVE SWEETENER
 N-LACTOYL ETHANOLAMINE, FLAVORING AGENT OR ADJUVANT
 N-LACTOYL ETHANOLAMINE PHOSPHATE, FLAVORING AGENT OR ADJUVANT
 LACTYLATED FATTY ACID ESTERS OF GLYCEROL AND PROPYLENE GLYCOL," EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, SURFACE-ACTIVE AGENT"
 LACTYLIC ESTERS OF FATTY ACIDS," EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, SURFACE-ACTIVE AGENT"
 LANOLIN, MASTICATORY SUBSTANCE
 LARD," EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, TEXTURIZER"
 LARD OIL, SURFACE-ACTIVE AGENT
 LAUREL BERRIES (LAURUS NOBILIS L.), FLAVORING AGENT OR ADJUVANT
 LAURIC ACID," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LUBRICANT OR RELEASE AGENT, SURFACE-ACTIVE AGENT"
 LAURIC ALDEHYDE, FLAVORING AGENT OR ADJUVANT
 LAUROYL DIETHANOLAMIDE, WASHING OR SURFACE REMOVAL AGENT
 LAURYL ACETATE, FLAVORING AGENT OR ADJUVANT
 LAURYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 LAVANDIN ABSOLUTE,Not Available
" LAVANDIN, CONCRETE",Not Available
" LAVANDIN, OIL", FLAVORING AGENT OR ADJUVANT
" LAVENDER, ABSOLUTE (LAVANDULA OFFICINALIS CHAIX)", FLAVORING AGENT OR ADJUVANT
" LAVENDER, CONCRETE (LAVANDULA OFFICINALIS CHAIX)", FLAVORING AGENT OR ADJUVANT
 LAVENDER (LAVANDULA OFFICINALIS CHAIX), FLAVORING AGENT OR ADJUVANT
" LAVENDER, OIL (LAVANDULA OFFICINALIS CHAIX)", FLAVORING AGENT OR ADJUVANT
" LAVENDER, SPIKE (LAVANDULA LATIFOLIA BILL.)", FLAVORING AGENT OR ADJUVANT
" LAVENDER, SPIKE, OIL (LAVANDULA SPP.)", FLAVORING AGENT OR ADJUVANT
 LECHE CASPI (COUMA MACROCARPA BARB. RODR.), MASTICATORY SUBSTANCE
" LECHE DE VACA (BROSIMUM UTILE (H.B.K.) PITTIER, AND POULSENIA SPP.)", MASTICATORY SUBSTANCE
" LECITHIN, BENZOYL PEROXIDE MODIFIED"," ANTIOXIDANT, EMULSIFIER OR EMULSIFIER SALT"
" LECITHIN, ENZYME-MODIFIED", EMULSIFIER OR EMULSIFIER SALT
" LECITHIN, HYDROGEN PEROXIDE MODIFIED"," EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 LECITHIN (VEGETABLE)," ANTIOXIDANT, DRYING AGENT"
 LEEK OIL, FLAVORING AGENT OR ADJUVANT
 LEMON ESSENCE, FLAVORING AGENT OR ADJUVANT
" LEMON, EXTRACT (CITRUS LIMON (L.) BURM. F.)", FLAVORING AGENT OR ADJUVANT
" LEMON GRASS, OIL (CYMBOPOGON CITRATUS DC. AND CYMBOPOGON FLEXUOSUSSTAPF)", FLAVORING AGENT OR ADJUVANT
" LEMON, OIL (CITRUS LIMON (L.) BURM. F.)", FLAVORING AGENT OR ADJUVANT
" LEMON, OIL, TERPENELESS (CITRUS LIMON (L.) BURM. F.)", FLAVORING AGENT OR ADJUVANT
 LEMON PEEL EXTRACT, FLAVORING AGENT OR ADJUVANT
 LEMON PEEL GRANULES, FLAVORING AGENT OR ADJUVANT
 LEMON TERPENES,Not Available
 LEMON-VERBENA (LIPPIA CITRIODORA HBK.), FLAVORING AGENT OR ADJUVANT
" LEMON VERBENA, OIL (LIPPIA CITRIODORA)", FLAVORING AGENT OR ADJUVANT
 LEPIDINE,Not Available
 L-LEUCINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 LEVULINIC ACID," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 LEVULOSE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, NUTRITIVE SWEETENER, PROCESSING AID, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, TEXTURIZER"
 L-FENCHONE, FLAVORING AGENT OR ADJUVANT
 LICORICE EXTRACT (GLYCYRRHIZA SPP.), FLAVORING AGENT OR ADJUVANT
 LICORICE EXTRACT POWDER (GLYCYRRHIZA SPP.)," FLAVORING AGENT OR ADJUVANT, NON-NUTRITIVE SWEETENER"
 LICORICE (GLYCYRRHIZA SPP.)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 LIGNIN,Not Available
 LIGNIN SODIUM SULFONATE, BOILER WATER ADDITIVE
 LIGNOSULFONIC ACID, BOILER WATER ADDITIVE
" LIME, ESSENCE",Not Available
" LIME JUICE, DEHYDRATED", FLAVORING AGENT OR ADJUVANT
" LIME OIL, DISTILLED", FLAVORING AGENT OR ADJUVANT
" LIME OIL, EXPRESSED", FLAVORING AGENT OR ADJUVANT
" LIME, OIL, TERPENELESS (CITRUS AURANTIFOLIA (CHRISTMAN) SWINGLE)", FLAVORING AGENT OR ADJUVANT
 D-LIMONENE, FLAVORING AGENT OR ADJUVANT
 DL-LIMONENE,Not Available
 L-LIMONENE, FLAVORING AGENT OR ADJUVANT
" LINALOE WOOD, OIL (BURSERA DELPECHIANA POISS. AND OTHER BURSERA SPP.)", FLAVORING AGENT OR ADJUVANT
 LINALOOL, FLAVORING AGENT OR ADJUVANT
 LINALOOL OXIDE, FLAVORING AGENT OR ADJUVANT
 LINALOOL OXIDE PYRANOID, FLAVORING AGENT OR ADJUVANT
 LINALYL ACETATE, FLAVORING AGENT OR ADJUVANT
 LINALYL ANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 LINALYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 LINALYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 LINALYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 LINALYL FORMATE, FLAVORING AGENT OR ADJUVANT
 LINALYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 LINALYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 LINALYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 LINALYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 LINALYL PHENYLACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 LINALYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
" LINDEN FLOWERS, EXTRACT (TILIA SPP.)", FLAVORING AGENT OR ADJUVANT
 LINDEN FLOWERS (TILIA GLABRA VENT.), FLAVORING AGENT OR ADJUVANT
 LINDEN LEAVES (TILLIA SPP.), FLAVORING AGENT OR ADJUVANT
 LINOLEIC ACID, FLAVORING AGENT OR ADJUVANT
 LIPASE," ENZYME, FLAVORING AGENT OR ADJUVANT, PROCESSING AID"
 LIPASE FROM ANIMAL TISSUE, ENZYME
 LIPASE FROM ASPERGILLUS NIGER, ENZYME
 LIPASE FROM ASPERGILLUS ORYZAE," ENZYME, PROCESSING AID"
 LIPASE FROM RHIZOPUS NIVEUS, ENZYME
 LISTERIA-SPECIFIC BACTERIOPHAGE PREPARATION, ANTIMICROBIAL AGENT
 LITSEA CUBEBA BERRY OIL, FLAVORING AGENT OR ADJUVANT
 L-MENTHYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
" LOVAGE, EXTRACT (LEVISTICUM OFFICINALE KOCH)", FLAVORING AGENT OR ADJUVANT
 LOVAGE (LEVISTICUM OFFICINALE KOCH), FLAVORING AGENT OR ADJUVANT
" LOVAGE, OIL (LEVISTICUM OFFICINALE KOCH)", FLAVORING AGENT OR ADJUVANT
" L-8-P-MENTHENE-1,2-EPOXIDE", FLAVORING AGENT OR ADJUVANT
 LUNGMOSS (STICTA PULMONACEA ACH.),Not Available
 LUO HAN FRUIT CONCENTRATE, FLAVORING AGENT OR ADJUVANT
 LUPULIN (HUMULUS LUPULUS L.), FLAVORING AGENT OR ADJUVANT
 L-LYSINE, NUTRIENT SUPPLEMENT
 MACE (MYRISTICA FRAGRANS HOUTT.)," FLAVORING AGENT OR ADJUVANT, TEXTURIZER"
" MACE, OIL (MYRISTICA FRAGRANS HOUTT.)", FLAVORING AGENT OR ADJUVANT
" MACE, OLEORESIN (MYRISTICA FRAGRANS HOUTT.)", FLAVORING AGENT OR ADJUVANT
 MAGNESIUM CAPRATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 MAGNESIUM CAPRYLATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 MAGNESIUM CARBONATE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, HUMECTANT, LUBRICANT OR RELEASE AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID"
 MAGNESIUM CHLORIDE," COLOR OR COLORING ADJUNCT, FIRMING AGENT, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 MAGNESIUM CYCLAMATE--PROHIBITED, NON-NUTRITIVE SWEETENER
 MAGNESIUM FUMARATE, NUTRIENT SUPPLEMENT
 MAGNESIUM GLUCONATE, NUTRIENT SUPPLEMENT
 MAGNESIUM GLYCEROPHOSPHATE, FORMULATION AID
 MAGNESIUM HYDROXIDE," COLOR OR COLORING ADJUNCT, DRYING AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID"
 MAGNESIUM LAURATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 MAGNESIUM MYRISTATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 MAGNESIUM OLEATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 MAGNESIUM OXIDE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, HUMECTANT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID"
 MAGNESIUM PALMITATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
" MAGNESIUM PHOSPHATE, DIBASIC"," NUTRIENT SUPPLEMENT, PH CONTROL AGENT, STABILIZER OR THICKENER"
" MAGNESIUM PHOSPHATE, TRIBASIC"," NUTRIENT SUPPLEMENT, PH CONTROL AGENT, STABILIZER OR THICKENER"
 MAGNESIUM SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 MAGNESIUM SILICATE," ANTICAKING AGENT OR FREE-FLOW AGENT, FORMULATION AID"
 MAGNESIUM STEARATE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, FORMULATION AID, HUMECTANT"
 MAGNESIUM SULFATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, MALTING OR FERMENTING AID, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID, STABILIZER OR THICKENER"
 MAGNOLOL, FLAVORING AGENT OR ADJUVANT
 MAIDENHAIR FERN (ADIANTUM CAPILLUS-VENERIS L.), FLAVORING AGENT OR ADJUVANT
 MALIC ACID," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT, SYNERGIST"
 MALT, ENZYME
 MALTODEXTRIN," ANTICAKING AGENT OR FREE-FLOW AGENT, FLAVORING AGENT OR ADJUVANT, HUMECTANT, NUTRIENT SUPPLEMENT, NUTRITIVE SWEETENER, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, TEXTURIZER"
 MALTOL," FLAVORING AGENT OR ADJUVANT, NUTRITIVE SWEETENER, PROCESSING AID"
 MALTOL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 MALTOSE, NUTRITIVE SWEETENER
 MALT SYRUP (MALT EXTRACT)," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, MALTING OR FERMENTING AID, NUTRIENT SUPPLEMENT, NUTRITIVE SWEETENER, TEXTURIZER"
 MALTYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
" MANDARIN, OIL (CITRUS RETICULATA BLANCO)", FLAVORING AGENT OR ADJUVANT
 MANGANESE CHLORIDE, NUTRIENT SUPPLEMENT
 MANGANESE CITRATE," NUTRIENT SUPPLEMENT, SEQUESTRANT"
 MANGANESE GLUCONATE," FLAVORING AGENT OR ADJUVANT, FUMIGANT"
 MANGANESE GLYCEROPHOSPHATE, NUTRIENT SUPPLEMENT
 MANGANESE HYPOPHOSPHITE, NUTRIENT SUPPLEMENT
 MANGANESE SULFATE, NUTRIENT SUPPLEMENT
 MANGANOUS OXIDE, NUTRIENT SUPPLEMENT
 MANNITOL," ANTICAKING AGENT OR FREE-FLOW AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, NON-NUTRITIVE SWEETENER, SOLVENT OR VEHICLE"
" MARIGOLD, POT (CALENDULA OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
" MARJORAM, OLEORESIN (MARJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.))", FLAVORING AGENT OR ADJUVANT
" MARJORAM, POT (MAJORANA ONITES (L.) BENTH. (ORIGANUM VULGARE L.))", FLAVORING AGENT OR ADJUVANT
 MARJORAM SEED (MAJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.)), FLAVORING AGENT OR ADJUVANT
" MARJORAM, SWEET (MAJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.))", FLAVORING AGENT OR ADJUVANT
" MARJORAM, SWEET, OIL (MAJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.))", FLAVORING AGENT OR ADJUVANT
 MASSARANDUBA BALATA (MANILKARA HUBERI (DUCKE) CHEVALIER), MASTICATORY SUBSTANCE
" MASSARANDUBA BALATA, SOLVENT-FREE RESIN EXTRACT", MASTICATORY SUBSTANCE
 MASSARANDUBA CHOCOLATE (MANILKARA SOLIMOESENSIS GILLY), MASTICATORY SUBSTANCE
 MASSOIA BARK OIL, FLAVORING AGENT OR ADJUVANT
 MASTIC GUM, FLAVORING AGENT OR ADJUVANT
" MATE, ABSOLUTE (ILEX PARAGUARIENSIS ST. HIL.)", FLAVORING AGENT OR ADJUVANT
" MATE, LEAVES",Not Available
 MENADIOL SODIUM DIPHOSPHATE,Not Available
 MENHADEN OIL,Not Available
" MENHADEN OIL, HYDROGENATED",Not Available
 MENTHADIENOL," FLAVORING AGENT OR ADJUVANT, MASTICATORY SUBSTANCE"
" D-2,8-P-MENTHADIEN-1-OL", FLAVORING AGENT OR ADJUVANT
" P-MENTHA-1,8-DIEN-7-OL", FLAVORING AGENT OR ADJUVANT
" CIS- AND TRANS-P-1(7),8-MENTHADIEN-2-YL ACETATE", FLAVORING AGENT OR ADJUVANT
 P-MENTHAN-2-ONE, FLAVORING AGENT OR ADJUVANT
 P-MENTHA-8-THIOL-3-ONE, FLAVORING AGENT OR ADJUVANT
 P-MENTH-1-ENE-9-AL, FLAVORING AGENT OR ADJUVANT
" 8-P-MENTHENE-1,2-DIOL", FLAVORING AGENT OR ADJUVANT
