Ingredient,Nutrition,HealthBenefits,HealthRisks,DiseaseConcerned,HealthinessScore
apple puree,"Fiber, Vitamin C","Supports digestion, natural sweetness",0,None,9
pear puree,"Fiber, Vitamin C","Gentle on the stomach, hydrating",0,None,9
peach puree,Vitamins A & C,"Antioxidant-rich, supports immunity",0,None,9
prune puree,"Fiber, Potassium","Aids in digestion, natural laxative effect",0,None,8
sweet potato puree,"Beta-carotene, Vitamins","Supports vision, strengthens immunity",0,None,9
pumpkin puree,"Vitamins A & C, Fiber","Boosts immunity, promotes eye health",0,None,9
carrot puree,"Beta-carotene, Fiber","Supports eye health, good for digestion",0,None,9
pea puree,"Protein, Fiber","High in protein and fiber, supports heart health",0,None,8
green bean puree,"Vitamins A, C, Fiber","Supports healthy digestion, rich in antioxidants",0,None,8
blueberry puree,"Antioxidants, Vitamin C","High in antioxidants, supports brain function",0,None,9
mango puree,"Vitamins A & C, Fiber","Boosts immunity, improves digestion",0,None,9
avocado puree,"Healthy Fats, Fiber","Supports brain development, heart-healthy",0,None,9
chicken puree,"Protein, B Vitamins","High in protein, supports growth and development",0,None,8
turkey puree,"Protein, Selenium","Lean protein source, supports immune function",0,None,8
beef puree,"Iron, Protein","Supports red blood cell development, high in protein",0,None,7
lamb puree,"Protein, Zinc","Rich in protein, supports immune function",0,None,7
salmon puree,Omega-3 Fatty Acids,"Supports brain development, heart health",0,None,9
cod puree,"Protein, Vitamin D","Lean protein, supports bone health",0,None,8
amaranth,"Protein, Lysine","Gluten-free, high in micronutrients",0,None,9
buckwheat,"Fiber, Protein","Supports heart health, gluten-free",0,None,9
broccoli puree,"Vitamin C, K","Nutrient-dense, supports immune system",0,None,9
spinach puree,"Iron, Magnesium","Supports bone health, rich in iron",0,None,9
kale puree,"Vitamins A, C, K","Antioxidant-rich, supports heart health",0,None,9
zucchini puree,"Vitamin C, Potassium","Low calorie, supports hydration",0,None,9
butternut squash puree,Vitamins A & C,"Boosts vision and immunity, fiber-rich",0,None,9
cauliflower puree,"Vitamin C, Choline","Supports brain health, rich in antioxidants",0,None,9
beet puree,"Folate, Fiber","Supports heart health, improves endurance",0,None,9
parsnip puree,"Fiber, Vitamin C","Aids in digestion, supports immune function",0,None,9
blackberry puree,"Vitamin C, K","High in antioxidants, supports oral health",0,None,9
raspberry puree,"Fiber, Vitamins","Antioxidant-rich, supports digestion",0,None,9
strawberry puree,"Vitamin C, Manganese","Supports immune system, heart health",0,None,9
greek yogurt,"Protein, Probiotics","Supports digestion, bone health",0,Lactose intolerance,9
kefir,"Probiotics, Calcium","Improves gut health, supports bone strength",0,Lactose intolerance,9
chia seeds,"Omega-3, Fiber","Supports heart health, aids in digestion",0,None,9
hemp seeds,"Protein, Omega-3","Supports heart health, rich in plant-based protein",0,None,9
carrot powder,"Beta-carotene, Fiber","Supports vision, nutritional boost",0,None,9
sweet corn powder,"Vitamins, Fiber","Natural sweetener, energy source",0,None,7
whey protein (for toddlers),"Protein, Amino acids","Supports growth, muscle development",0,Milk allergies,8
vitamin a palmitate,Vitamin A,Supports vision and immune function,0,None,9
vitamin c (ascorbic acid),Vitamin C,"Antioxidant, supports immune health",0,None,9
vitamin d3,Vitamin D,"Supports bone health, immune function",0,None,9
vitamin e (alpha tocopherol),Vitamin E,"Antioxidant, supports skin health",0,None,9
vitamin k1,Vitamin K,"Supports bone health, blood clotting",0,None,9
thiamine mononitrate (vitamin b1),Vitamin B1,"Energy metabolism, nerve function",0,None,9
riboflavin (vitamin b2),Vitamin B2,"Energy production, eye health",0,None,9
niacin (vitamin b3),Vitamin B3,"Supports metabolism, skin health",0,None,9
pantothenic acid (vitamin b5),Vitamin B5,"Hormone synthesis, energy production",0,None,9
pyridoxine hydrochloride (vitamin b6),Vitamin B6,"Neurotransmitter synthesis, immune support",0,None,9
biotin (vitamin b7),Vitamin B7,"Supports metabolism, hair and skin health",0,None,9
folic acid (vitamin b9),Vitamin B9,"Cell growth, maternal health during pregnancy",0,None,9
cyanocobalamin (vitamin b12),Vitamin B12,"Nerve function, red blood cell formation",0,None,9
calcium carbonate,Calcium,"Bone health, nerve signaling",0,None,9
iron (ferrous fumarate),Iron,"Hemoglobin formation, energy metabolism",0,None,9
zinc sulfate,Zinc,"Immune function, wound healing",0,None,9
magnesium oxide,Magnesium,"Muscle and nerve function, energy production",0,None,9
copper sulfate,Copper,"Iron absorption, supports cardiovascular health",0,None,9
manganese sulfate,Manganese,"Bone formation, antioxidant defense",0,None,9
sodium selenite,Selenium,"Antioxidant, supports metabolism",0,None,9
chromium chloride,Chromium,"Glucose metabolism, enhances insulin action",0,None,9
molybdenum amino acid chelate,Molybdenum,"Enzyme function, metabolism support",0,None,9
potassium iodide,Iodine,"Thyroid health, cognitive function",0,None,9
dha (docosahexaenoic acid),Omega-3 Fatty Acids,"Brain development, eye health",0,None,9
ara (arachidonic acid),Omega-6 Fatty Acids,"Supports brain development, immune function",0,None,9
lutein,Carotenoid,"Eye health, may protect against light-induced damage",0,None,9
lycopene,Carotenoid,"Antioxidant, may reduce the risk of certain cancers",0,None,9
prebiotic fibers (GOS FOS),Fiber,"Supports digestive health, fosters healthy gut flora",0,None,8
probiotics (Bifidobacterium lactis  Lactobacillus rhamnosus),Probiotics,"Enhances gut health, supports immune function",0,None,9
natural vanilla flavor,Flavor,Adds sweetness without sugar,0,None,8
natural banana flavor,Flavor,"Adds banana flavor to foods, allergen-free",0,None,8
natural berry flavor,Flavor,"Enhances taste with berry flavor, no added sugars",0,None,8
corn syrup solids,Sugars,0,High sugar content,Diabetes,4
palm olein,Saturated Fat,0,High in saturated fats,Heart conditions,5
soy lecithin,Phospholipids,"Emulsifier in foods, supports brain health",0,Soy allergies,7
high oleic sunflower oil,Monounsaturated Fats,"Improves shelf life, lower in saturated fat",0,None,8
high oleic safflower oil,Monounsaturated Fats,"Heart healthy, used in cooking and formulas",0,None,8
algal oil (source of dha),Omega-3 Fatty Acids,"Vegan DHA source, supports brain and eye health",0,None,9
mortierella alpina oil (source of ara),Omega-6 Fatty Acids,Supports brain development and immune system,0,None,9
